deu	yid
Amharisch	אַמהאַריש
Englisch	ענגליש
Englisch	ענגליש
Englisch	ענגליש
englische Sprache	ענגליש
Estnisch	עסטיש
Griechisch	גריכיש
Hebräisch	העברעיִש
Hebräisch	העברעיִש
Hebräisch	לשון־קודש
Hindi	הינדיש
Isländisch	איסלענדיש
Kornisch	קארניש
Kroatisch	קראאַטיש
Latein	לאַטײַן
Litauisch	ליטװיש
Litauisch	ליטוויש
Manx	מאַנקס
Sanskrit	סאַנסקריט
Serbisch	סערביש
Tschechisch	טשעכיש
Tschechisch	טשעכיש
Tscheche	טשעכיש
Ukrainisch	אוקרײַניש
Ukrainerin	אוקרײַניש
Volapük	וואלאַפּוק
Walisisch	וועלשיש
Weißrussisch	װײַסרוסיש
Huangho	געלע טײַך
Gelber Fluss	געלע טײַך
Gelber Fluſs	געלע טײַך
niederländisch	האָלענדיש
holländisch	האָלענדיש
Franzose	פֿראַנצײזיש
Französin	פֿראַנצײזיש
-	פינלאנד
-	שמערץ
-en. Kopfweh ''n'' -s	שמערץ
Bauchschmerzen ''pl''.	שמערץ
Schmerz -es	שמערץ
Kopfschmerzen ''pl''. Bauchweh -s	שמערץ
-	אָפּגעמאַטערטקײט
-	אױסגעמאַטערטקײט
-	מידקײט
-	פֿאַרמאַטערטקײט
Abbild	בילד
Abbildung	בילד
Bild	בילד
Gemälde	בילד
Abfrage	פֿרעג
Anfrage	פֿרעג
Erkundigung	פֿרעג
Frage	פֿרעג
Fragezeichen	פֿרעג
Rückfrage	פֿרעג
Suchanfrage	פֿרעג
abgesehen von	נײן
egal	נײן
ganz gleich	נײן
missachtend	נײן
ganz egal	נײן
überhaupt nicht berücksichtigend	נײן
Achtung	דרך־ארץ
Achtung	רעספּעקט
Achtung	אוּוואַזשעניע
Adjektiv	אַדיעקטיװ
Adjektiv	אדיעקטיוו
Beiwort	אַדיעקטיװ
Beiwort	אדיעקטיוו
Eigenschaftswort	אַדיעקטיװ
Eigenschaftswort	אדיעקטיוו
Adler	אָדלער
